No,Severity,Status,Category,File:Line,Bug Description,Before (พฤติกรรม/โค้ดเดิม),After (พฤติกรรม/โค้ดใหม่),Why it was a bug,Fix Explanation
20,HIGH,Fixed,Timezone,lib/calc.ts:188-197 (getAutoDate),"new Date(t).toISOString().slice(0,10) ปัดเป็น UTC midnight → ผู้ใช้ Bangkok ได้วันที่ 1 ก่อนเที่ยงวัน → ได้ของ UTC วันก่อนหน้า","ระยะกลางช่วง start-end ถูก slice เป็น UTC → milestone date เลื่อน 1 วัน","สร้าง formatLocalDate(d) ใช้ getFullYear/getMonth/getDate","Milestone dates เลื่อนวัน +/- 1 ตาม timezone","ใช้ formatLocalDate helper แทน toISOString().slice(0,10)"
21,HIGH,Fixed,Timezone,lib/calc.ts:37-50 (workingDaysBetween),"new Date('YYYY-MM-DD') parse เป็น UTC + while loop ใช้ setDate(+1) ซึ่ง DST อาจ jump 23h/25h","ในประเทศที่มี DST: นับวันเพี้ยน หรือ infinite loop","ใช้ parseLocalDate + Math.round((endUtc-startUtc)/86400000) สำหรับนับวัน","DST locale แอปอาจค้าง","Refactor workingDaysBetween: ใช้ Date.UTC ช่วยคำนวณ day count แล้วลูปด้วย i index"
22,HIGH,Fixed,Timezone,lib/subscriptions.ts:159-190,"daysUntil/nextBillingAfter ใช้ new Date(iso) → UTC shift; setMonth(+1) overflow เช่น Jan 31 + 1 = Mar 3","Days-until เพี้ยน 1; subscription รายเดือนปลายเดือนเลื่อนไป 3","parseLocalDate + addMonths ที่ clamp day-of-month ด้วย lastDay","ระบบเตือนต่ออายุยิงผิดวัน, due date เลื่อน","สร้าง parseLocalDate, formatLocalDate, addMonths(date, n) ที่จัดการ month-end overflow"
23,HIGH,Fixed,Timezone,lib/finance.ts:320-326 (summarizeMonth),"new Date(iso) → UTC → income ของวันที่ 1 ของเดือนถูกนับเป็นเดือนก่อน","Monthly summary คลาดเคลื่อนเดือน","Regex parse 'YYYY-MM-DD' ดึง year/month string ตรง ๆ","สรุปรายเดือนผิดเดือน","ใช้ regex /^(\\d{4})-(\\d{2})-(\\d{2})/ เปรียบเทียบเป็นตัวเลขโดยตรง"
24,HIGH,Fixed,Timezone,app/app/finance/income/page.tsx:55-58 + expense/page.tsx:53-56 + tax/page.tsx:77-83,"new Date('YYYY-MM-DD').getMonth() ในตัว filter","Income/expense ของวันที่ 1 ถูก filter ผิดเดือน","Regex local-parse เทียบเลข month/year ตรง","List/summary ของ user แสดงเดือนผิด","Filter ใช้ regex match แทน new Date(...)"
25,HIGH,Fixed,Finance,lib/finance.ts:460,"Math.max(0, taxTotal - whtPaid) ซ่อน WHT refund","UI ไม่บอกว่า user ขอคืนภาษีได้เท่าไหร่ — โชว์ owed = 0 เฉย ๆ","เพิ่ม taxRefund field ใน TaxResult; export ค่าทั้งคู่","Fold information loss; ไม่มี hint ในรายงานภาษีว่ามี refund","คำนวณ diff = taxTotal - whtPaid; owed = max(0, diff); refund = -diff if diff < 0 else 0"
26,HIGH,Fixed,Calc display,lib/repository.ts:362-411,"DocumentSummary.total hardcode = 0 ทำให้ list ทุกเอกสารโชว์ยอด 0","Document list ใน UI ไม่มียอดเลย","calculate(d.data).total แล้วใส่ใน total","User ไม่เห็นยอดเอกสาร เลือกผิดได้","Import calculate from ./calc; ในการ map row → ใช้ try { total = calculate(...).total } catch { total = 0 }"
27,HIGH,Fixed,Calc display,lib/repository.ts:217-247,"listClients ไม่ accumulate totalAmount → UI โชว์ ฿0 ตลอด","ClientSummary.totalAmount = 0 ทุกคน","คำนวณ calc.total ของแต่ละ doc แล้ว stats.total += calc.total","Client CRM ไม่เห็นยอดรายรับต่อ client","ใน listClients() forEach docs → calculate(d.data).total → cur.total += นั้น"
28,HIGH,Fixed,Form bug,app/app/finance/tax/page.tsx:37-67,"Effect overwrite income/whtPaid/actualExpense ทุก year change → ค่าที่ user พิมพ์เองหาย","User พิมพ์ WHT 5000 → เปลี่ยนปี → กลับมา WHT เป็น 0/auto-value","track touched = { income, whtPaid, actualExpense } — ไม่ overwrite ถ้า touched","Tax calculation field ที่ user override หายโดยไม่บอก","Add touched state; set() function mark touched ก่อน setInputs; effect ใช้ touched.x ? prev.x : autoValue"
29,HIGH,Fixed,UI/UX,app/app/finance/documents/page.tsx:102-122,"setTimeout(250) ปิด downloading โดยไม่รอ sendQuote → request ช้ากว่า 250ms ก็โชว์ ""สำเร็จ""","สเตตัส mismatch กับจริง; ยังลำดับเหตุการณ์ผิด","ปิด downloading + เปิด successOpen ทันทีหลัง await; fetchStats run background","User เห็น success modal ก่อนงานเสร็จ; race ใน error handling","ลบ setTimeout; flip state immediately after await sendQuote; fetchStats().catch(() => {})"
30,HIGH,Fixed,UI/UX,app/app/settings/page.tsx:34-43,"signOut + router.push('/') แข่งกับ AppLayout redirect /auth → ปลายทาง non-deterministic","User อาจไปจบที่ / หรือ /auth สลับกัน","router.replace('/auth')","Back button กลับมาถึง protected page; flicker","ใช้ replace แทน push และไปที่ /auth ตรงเหมือนที่ AppLayout จะ redirect"
31,HIGH,Fixed,Time logic,app/app/dashboard/page.tsx:54-94,"year/month captured at mount → tab ค้างข้ามเที่ยงคืน/เดือน ยังโชว์เดือนเก่า","Long-running dashboard tab โชว์ summary ของเดือนก่อน","setYm state + interval ทุก 5 นาที check rollover","Stats ผิดเดือน","useState init ด้วย new Date(); setInterval(tick, 5*60*1000) ใน effect; refresh dep [year, month]"
32,HIGH,Fixed,File upload,components/ProfileModal.tsx:43-44,"accept='image/*' ผ่าน SVG ที่ฝัง JS เข้ามาได้ → XSS เมื่อ render เป็น data URL","User upload SVG ที่มี <script> แล้วถูกแสดงใน <img src={dataUrl}>","Whitelist MIME: png/jpeg/webp/gif เท่านั้น + check extractMimeFromDataUrl","XSS surface ผ่าน PDF/email rendering","ALLOWED_IMAGE_MIMES Set + check ทั้ง file.type และ data URL prefix + เปลี่ยน accept attr"
33,HIGH,Fixed,File upload,components/suppliers/SupplierDetailModal.tsx:178-184,"input[type=file] multiple ไม่มี accept + ไม่ตรวจ MIME","User upload .exe/.html/.zip ได้","accept whitelist + check isAllowedSupplierFile() ก่อน upload — รับเฉพาะ image/video/audio/pdf","Storage มีไฟล์อะไรก็ได้ — malware hosting risk","สร้าง ALLOWED_SUPPLIER_FILE_TYPES + isAllowedSupplierFile prefix check; เพิ่ม accept attr + throw error ถ้า MIME ไม่ผ่าน"
34,HIGH,Fixed,Race,lib/suppliers.ts:182-209,"uploadSupplierFile/removeSupplierFile read-modify-write JSON files array → concurrent uploads ทำให้ไฟล์หาย","Upload 3 ไฟล์พร้อมกัน → list อาจมีแค่ 1","Module-level Promise lock per supplierId — withSupplierLock(id, fn)","Lost-update race ทำให้ user สูญเสียไฟล์ที่ upload แล้ว","สร้าง Map<supplierId, Promise<unknown>> ที่ chain การทำงาน sequentially; clean up เมื่อ promise settle"
35,HIGH,Fixed,Form bug,components/InvoiceReceiptFields.tsx:99-110,"paidAmount: Number(e.target.value) → 'abc' = NaN → flow ไปทั้ง state","NaN ถูก save ลง DB + ต่อมา paidAmount > 0 fail","parseFloat + Number.isFinite + >= 0 check","NaN poisoning calc / totals แสดง NaN","onChange handler: ถ้า raw='' → undefined; else parseFloat รวมกัน Number.isFinite และ >= 0 ก่อน update"
36,HIGH,Fixed,Form bug,components/ServicesPanel.tsx:42-58,"addService: Number(newPrice) || 0 — '1,500.50' กลายเป็น 0 เงียบ ๆ","Comma-decimal input lose price","parseFloat(s.replace(/,/g, '')) + isFinite guard","User สูญเสียราคาที่กรอกโดยไม่รู้","ปรับ price/quantity ใช้ parseMoney/parseQty helper + กรอง NaN/negative"
37,HIGH,Fixed,Form bug,components/ServicesPanel.tsx:402-410,"discount input: Number() — NaN กลายเป็น discount = NaN → render NaN","discount NaN → calc.afterDiscount = NaN → ทุกยอดเป็น NaN","parseFloat + isFinite + >= 0 check","UI โชว์ ""NaN"" ในยอดรวม","Filter input ใน onChange ก่อน update; ตั้ง min={0} เพิ่ม input attribute"
38,HIGH,Fixed,Form bug,components/ServiceEditModal.tsx:38-48,"save: Number(price)||0, Number(quantity)||1 — 'abc' = NaN ผ่าน || ได้","Invalid input silently sets price = 0","parseMoney/parseQty helper","Drop user data; pdf อาจมี ฿0 line","Helper functions parseMoney/parseQty ด้านบนไฟล์; ใช้แทน Number() ใน save()"
39,HIGH,Fixed,Form bug,components/ExtraEditModal.tsx:34-43,"percent: Number(percent)||0 — รับลบได้, NaN → 0","Negative percent ลด totalแทนเพิ่ม","clamp 0..1000 + isFinite check","ลบ surcharge หรือ overflow ใน calc","parseFloat + Math.max(0, Math.min(1000, raw)) + Number.isFinite guard; เพิ่ม min/max attr"
40,HIGH,Fixed,Display bug,components/QuotePreview.tsx:362,"termLabel[paymentTerm] อาจ undefined → ""(มัดจำ )"" ว่าง","ถ้า paymentTerm = ค่าผิดประเภท → label ว่าง","fallback ?? '50%'","Quote PDF/preview มีค่าว่าง","ใช้ nullish coalescing fallback ""50%"""
41,HIGH,Fixed,Display bug,components/QuotePreview.tsx:280-288,"discount label ไม่บอกหน่วยตอน discountUnit='baht'","Print preview โชว์แค่ ""ส่วนลด"" — สับสน ฿ หรือ %","แสดง ' (฿)' เมื่อ baht","User สับสนหน่วย","เพิ่ม conditional label ที่บอกหน่วย"
42,HIGH,Fixed,UI bug,components/dashboard/AiPriceCheckModal.tsx:80-103,"step 4 (ผลลัพธ์) โชว์ ""ขั้นตอน 4 / 3""; progress bar 3 จุดเต็มแล้ว","Confusing UX","step <=3 โชว์ขั้นตอน; else โชว์ ""ผลลัพธ์""","หน้า result โชว์ข้อความ misleading","Conditional rendering: step<=3 ? `ขั้นตอน ${step}/3` : 'ผลลัพธ์'"
43,MEDIUM,Fixed,Auth precondition,lib/admin.ts:156-220,"fetchAdminStats ไม่ check isAdmin() — ถ้า non-admin เรียก ได้ totalUsers=1 (own row)","Non-admin เห็น dashboard เพี้ยน ไม่มี error","await isAdmin() guard ที่ต้น function — throw ถ้าไม่ใช่ admin","หน้าสถิติ admin ดูเหมือนพังไม่ใช่ permission","เพิ่ม if (!(await isAdmin())) throw new Error('Not authorized')"
44,MEDIUM,Fixed,Feedback API,lib/api.ts:79-92,"sendFeedback swallow error คืน void → caller ไม่รู้ว่าสำเร็จ","User submit feedback ไม่มี error แต่ไม่ landing","return boolean (true/false)","Silent failure feedback","ส่งผ่าน error ผ่าน { error } ของ Supabase + return false; UI ใช้ผลลัพธ์ display error"
45,MEDIUM,Fixed,Migration UX,components/MigrationModal.tsx:25-66,"setBusy(false) เฉพาะ catch — success path ไม่ reset busy; ไม่มี unmount guard","Button stays disabled ถ้า onDone ไม่ unmount; warn setState on unmounted","finally { safeSet(setBusy, false) } + mountedRef cleanup","Stuck UI; React warning","mountedRef.current + safeSet helper; ทุก setState ผ่าน safeSet; finally block สำหรับ busy"
46,MEDIUM,Fixed,Async cleanup,components/DocumentListModal.tsx:56-73,"useEffect listDocuments ไม่มี cancelled guard","setQuoteList ยิงหลัง modal ปิด","cancelled flag + return cleanup","React warning + waste render","let cancelled=false; check cancelled ทุก setState; return () => cancelled=true"
47,MEDIUM,Fixed,Async cleanup,components/ShareModal.tsx:33-44,"setTimeout(setCopied(false), 2000) — ไม่ clear ตอน unmount","setState on unmounted modal","copyTimer ref + cleanup ใน useEffect + markCopied helper","React warning; potential memory leak","สร้าง useRef + useEffect cleanup; markCopied centralize logic"
48,MEDIUM,Fixed,Profile merge,lib/repository.ts:127-146,"shallow-merge `data` → payment nested object ที่ partial หาย default","ถ้า stored.payment.bankName หายไป — ได้ undefined แทน default ''","deep-merge: payment: { ...DEFAULT_PROFILE.payment, ...stored.payment }","Nested defaults หาย","spread merge แยก payment key ด้วย"
49,MEDIUM,Fixed,Form bug,components/BillableRevisionModal.tsx:27-32,"Math.max(1, Math.floor(Number(value) || 1)) — 'abc' = NaN → 1 (OK by luck)","Loosely typed parse — hidden behavior","parseFloat + Number.isFinite + > 0 guard","Future-proofing","Refactor save() ใช้ Number.isFinite ตรง ๆ + clamp"
50,MEDIUM,Fixed,Document number,lib/types.ts:194-201,"Math.random()*900+100 = 3-digit decimal — 10% collision in 100 docs/month","Doc number ซ้ำได้ — ทำให้ list งงๆ","6-hex chars จาก crypto.getRandomValues — collision ~1 in 16M","Collisions in real usage","ใช้ Uint8Array(3) + getRandomValues → hex; fallback to Math.random ถ้าไม่มี crypto"
51,MEDIUM,Fixed,is_admin grant,schema.sql:24,"grant execute is_admin() to anon — broader than needed","Anon เรียก is_admin (ได้ false จาก coalesce แต่ surface kontaktloos)","revoke from anon, grant only to authenticated","Excessive permission","REVOKE EXECUTE FROM anon; GRANT TO authenticated"
52,MEDIUM,Fixed,Schema dedupe,schema.sql:281-299,"subscriptions มีทั้ง next_billing_date และ next_billing_at (กลุ่มเก่า) → frontend เขียน at, query date ได้ NULL","Data integrity asymmetry","DO block migrate next_billing_date → next_billing_at แล้ว DROP","ความเสี่ยง report ผิด","DO $$ migrate then drop legacy column"
53,MEDIUM,Fixed,Missing indexes,schema.sql,"incomes.client_id/document_id/source_doc_id, documents.linked_from_id, subscriptions.next_billing_at/active, feedback.user_id ไม่มี index","SeqScan slow ใน admin views, join","สร้าง index ทุกตัว","Slow page when data grows","CREATE INDEX IF NOT EXISTS …_idx ทุก FK และ filter column"
54,MEDIUM,Fixed,Async cleanup,lib/documents.tsx,"setProfile setTimeout ไม่มี cleanup ตอน unmount","setState on unmounted","profileTimer cleanup ใน unmount effect","React warning","Add profileTimer to mount/unmount cleanup; setProfile read from profileRef ไม่ใช่ closure"
55,MEDIUM,Fixed,Memory leak,lib/repository.ts:18-46,"schemaIssueWarned Set โตเรื่อย ๆ ไม่ clear (HMR / long session)","Memory creep across reloads","SCHEMA_WARN_MAX = 50 + LRU eviction","Long-running tab memory","ตรวจ size ก่อน add → drop first entry ถ้าเต็ม"
56,MEDIUM,Fixed,Repository,lib/repository.ts:127,"saveProfile upsert + shallow merge nested payment","ดูข้อ #48","ดูข้อ #48","",""
57,MEDIUM,Fixed,Safer file name,lib/suppliers.ts:161,"safeName = name.replace(/[^a-zA-Z0-9._-]/g, '_') — Thai chars หาย","ไฟล์ที่ตั้งชื่อภาษาไทยกลายเป็น ____","whitelist เฉพาะ chars ที่ filesystem ห้ามจริง (\\/:*?""<>|) + space → _","User เปิดไฟล์ไม่ออก unreadable","Refactor buildSafeName: เก็บ unicode word chars; replace แค่ตัวอันตราย"
58,LOW,Not fixed,Modal UX,many,"Escape key/backdrop click ปิด modal ไม่ได้ทั่วทุก modal","User ต้องคลิก × เท่านั้น","—","UX nuisance","ข้ามไป — ต้องแก้ทุก modal (15+); แนะนำสร้าง useModalDismiss hook ในรอบ refactor ถัดไป"
59,LOW,Not fixed,DST locale,lib/calc.ts (workingDaysBetween),"DST locale infinite loop — แก้แล้วในข้อ 21","—","—","—","แก้แล้วในข้อ 21 ด้วย Date.UTC iteration"
60,LOW,Partial,NumberField snap-back,components/finance/IncomeFormModal.tsx + ExpenseFormModal + SubscriptionFormModal,"NumberField sync จาก prop ทำให้ user typing snap กลับ","พิมพ์ '0.5' → parent rerender → snap เป็น '5'","ยังไม่แก้ — ต้องเปลี่ยน useEffect prop-sync เป็น mount-only หรือ controlled+local","UX irritation","Skip — ต้อง refactor 3 modal; แนะนำใช้ defer commit (blur-only update)"
61,LOW,Not fixed,Hard-coded version,app/app/settings/page.tsx:128,"v1.1.0 hardcode in source","ต้องแก้ทุก release","—","Easy to forget","ใช้ package.json version import (รอ refactor)"
62,LOW,Not fixed,FAQ overflow,components/landing/LandingFAQ.tsx:73-76,"max-h-60 overflow-hidden ตัดคำตอบยาว","คำตอบยาวถูกตัด","—","Minor UX","Skip — landing copy issue"
